composite_primary_key,product_name,code,channel,customers__customer_category,month_num,month_year,units
Product Variant 0052-SKU-005A4293-Direct-to-Consumer-September 2026,Product Variant 0052,SKU-005A4293,Direct-to-Consumer,Unknown,202609,Sep-26,18
Product Variant 0052-SKU-005A4293-Direct-to-Consumer-October 2026,Product Variant 0052,SKU-005A4293,Direct-to-Consumer,Unknown,202610,Oct-26,16
Product Variant 0052-SKU-005A4293-Direct-to-Consumer-November 2026,Product Variant 0052,SKU-005A4293,Direct-to-Consumer,Unknown,202611,Nov-26,7
Product Variant 0052-SKU-005A4293-Direct-to-Consumer-December 2026,Product Variant 0052,SKU-005A4293,Direct-to-Consumer,Unknown,202612,Dec-26,17
Product Variant 0197-SKU-00BCD8BD-Direct-to-Consumer-March 2026,Product Variant 0197,SKU-00BCD8BD,Direct-to-Consumer,Direct-to-Consumer,202603,Mar-26,2
Product Variant 0197-SKU-00BCD8BD-Direct-to-Consumer-April 2026,Product Variant 0197,SKU-00BCD8BD,Direct-to-Consumer,Direct-to-Consumer,202604,Apr-26,2
Product Variant 0197-SKU-00BCD8BD-Direct-to-Consumer-May 2026,Product Variant 0197,SKU-00BCD8BD,Direct-to-Consumer,Direct-to-Consumer,202605,May-26,2
Product Variant 0197-SKU-00BCD8BD-Direct-to-Consumer-June 2026,Product Variant 0197,SKU-00BCD8BD,Direct-to-Consumer,Direct-to-Consumer,202606,Jun-26,2
Product Variant 0197-SKU-00BCD8BD-Direct-to-Consumer-July 2026,Product Variant 0197,SKU-00BCD8BD,Direct-to-Consumer,Direct-to-Consumer,202607,Jul-26,2
Product Variant 0197-SKU-00BCD8BD-Direct-to-Consumer-August 2026,Product Variant 0197,SKU-00BCD8BD,Direct-to-Consumer,Direct-to-Consumer,202608,Aug-26,1
Product Variant 0197-SKU-00BCD8BD-Direct-to-Consumer-September 2026,Product Variant 0197,SKU-00BCD8BD,Direct-to-Consumer,Direct-to-Consumer,202609,Sep-26,1
Product Variant 0197-SKU-00BCD8BD-Direct-to-Consumer-October 2026,Product Variant 0197,SKU-00BCD8BD,Direct-to-Consumer,Direct-to-Consumer,202610,Oct-26,1
Product Variant 0197-SKU-00BCD8BD-Direct-to-Consumer-November 2026,Product Variant 0197,SKU-00BCD8BD,Direct-to-Consumer,Direct-to-Consumer,202611,Nov-26,2
Product Variant 0197-SKU-00BCD8BD-Direct-to-Consumer-December 2026,Product Variant 0197,SKU-00BCD8BD,Direct-to-Consumer,Direct-to-Consumer,202612,Dec-26,3
Product Variant 0050-SKU-0307D0F9-Wholesale-January 2026,Product Variant 0050,SKU-0307D0F9,Wholesale,Professional - Esthetician,202601,Jan-26,5
Product Variant 0050-SKU-0307D0F9-Wholesale-February 2026,Product Variant 0050,SKU-0307D0F9,Wholesale,No Customer Type,202602,Feb-26,1
Product Variant 0050-SKU-0307D0F9-Wholesale-February 2026,Product Variant 0050,SKU-0307D0F9,Wholesale,Professional - Esthetician,202602,Feb-26,3
Product Variant 0050-SKU-0307D0F9-Wholesale-March 2026,Product Variant 0050,SKU-0307D0F9,Wholesale,Professional - Esthetician,202603,Mar-26,5
Product Variant 0050-SKU-0307D0F9-Wholesale-March 2026,Product Variant 0050,SKU-0307D0F9,Wholesale,Retailer - Non-Credo,202603,Mar-26,0
Product Variant 0050-SKU-0307D0F9-Wholesale-April 2026,Product Variant 0050,SKU-0307D0F9,Wholesale,Professional - Esthetician,202604,Apr-26,5
Product Variant 0050-SKU-0307D0F9-Wholesale-April 2026,Product Variant 0050,SKU-0307D0F9,Wholesale,Retailer - Non-Credo,202604,Apr-26,0
Product Variant 0050-SKU-0307D0F9-Wholesale-May 2026,Product Variant 0050,SKU-0307D0F9,Wholesale,Professional - Esthetician,202605,May-26,9
Product Variant 0050-SKU-0307D0F9-Wholesale-May 2026,Product Variant 0050,SKU-0307D0F9,Wholesale,Retailer - Non-Credo,202605,May-26,0
Product Variant 0050-SKU-0307D0F9-Wholesale-June 2026,Product Variant 0050,SKU-0307D0F9,Wholesale,Professional - Esthetician,202606,Jun-26,4
Product Variant 0050-SKU-0307D0F9-Wholesale-June 2026,Product Variant 0050,SKU-0307D0F9,Wholesale,Retailer - Non-Credo,202606,Jun-26,0
Product Variant 0050-SKU-0307D0F9-Wholesale-July 2026,Product Variant 0050,SKU-0307D0F9,Wholesale,Professional - Esthetician,202607,Jul-26,6
Product Variant 0050-SKU-0307D0F9-Wholesale-July 2026,Product Variant 0050,SKU-0307D0F9,Wholesale,Retailer - Non-Credo,202607,Jul-26,0
Product Variant 0050-SKU-0307D0F9-Wholesale-August 2026,Product Variant 0050,SKU-0307D0F9,Wholesale,Professional - Esthetician,202608,Aug-26,6
Product Variant 0050-SKU-0307D0F9-Wholesale-August 2026,Product Variant 0050,SKU-0307D0F9,Wholesale,Retailer - Non-Credo,202608,Aug-26,0
Product Variant 0050-SKU-0307D0F9-Wholesale-September 2026,Product Variant 0050,SKU-0307D0F9,Wholesale,Professional - Esthetician,202609,Sep-26,8
Product Variant 0050-SKU-0307D0F9-Wholesale-September 2026,Product Variant 0050,SKU-0307D0F9,Wholesale,Retailer - Non-Credo,202609,Sep-26,0
Product Variant 0050-SKU-0307D0F9-Wholesale-October 2026,Product Variant 0050,SKU-0307D0F9,Wholesale,Professional - Esthetician,202610,Oct-26,4
Product Variant 0050-SKU-0307D0F9-Wholesale-October 2026,Product Variant 0050,SKU-0307D0F9,Wholesale,Retailer - Non-Credo,202610,Oct-26,0
Product Variant 0050-SKU-0307D0F9-Wholesale-November 2026,Product Variant 0050,SKU-0307D0F9,Wholesale,Professional - Esthetician,202611,Nov-26,8
Product Variant 0050-SKU-0307D0F9-Wholesale-November 2026,Product Variant 0050,SKU-0307D0F9,Wholesale,Retailer - Non-Credo,202611,Nov-26,0
Product Variant 0050-SKU-0307D0F9-Wholesale-December 2026,Product Variant 0050,SKU-0307D0F9,Wholesale,Professional - Esthetician,202612,Dec-26,5
Product Variant 0050-SKU-0307D0F9-Wholesale-December 2026,Product Variant 0050,SKU-0307D0F9,Wholesale,Retailer - Non-Credo,202612,Dec-26,0
Product Variant 0193-SKU-03681C19-Direct-to-Consumer-January 2026,Product Variant 0193,SKU-03681C19,Direct-to-Consumer,Direct-to-Consumer,202601,Jan-26,6
Product Variant 0193-SKU-03681C19-Direct-to-Consumer-February 2026,Product Variant 0193,SKU-03681C19,Direct-to-Consumer,Direct-to-Consumer,202602,Feb-26,2
Product Variant 0193-SKU-03681C19-Direct-to-Consumer-March 2026,Product Variant 0193,SKU-03681C19,Direct-to-Consumer,Direct-to-Consumer,202603,Mar-26,5
Product Variant 0193-SKU-03681C19-Direct-to-Consumer-April 2026,Product Variant 0193,SKU-03681C19,Direct-to-Consumer,Direct-to-Consumer,202604,Apr-26,6
Product Variant 0193-SKU-03681C19-Direct-to-Consumer-May 2026,Product Variant 0193,SKU-03681C19,Direct-to-Consumer,Direct-to-Consumer,202605,May-26,3
Product Variant 0193-SKU-03681C19-Direct-to-Consumer-June 2026,Product Variant 0193,SKU-03681C19,Direct-to-Consumer,Direct-to-Consumer,202606,Jun-26,4
Product Variant 0193-SKU-03681C19-Direct-to-Consumer-July 2026,Product Variant 0193,SKU-03681C19,Direct-to-Consumer,Direct-to-Consumer,202607,Jul-26,3
Product Variant 0193-SKU-03681C19-Direct-to-Consumer-August 2026,Product Variant 0193,SKU-03681C19,Direct-to-Consumer,Direct-to-Consumer,202608,Aug-26,2
Product Variant 0193-SKU-03681C19-Direct-to-Consumer-September 2026,Product Variant 0193,SKU-03681C19,Direct-to-Consumer,Direct-to-Consumer,202609,Sep-26,1
Product Variant 0193-SKU-03681C19-Direct-to-Consumer-October 2026,Product Variant 0193,SKU-03681C19,Direct-to-Consumer,Direct-to-Consumer,202610,Oct-26,4
Product Variant 0193-SKU-03681C19-Direct-to-Consumer-November 2026,Product Variant 0193,SKU-03681C19,Direct-to-Consumer,Direct-to-Consumer,202611,Nov-26,4
Product Variant 0193-SKU-03681C19-Direct-to-Consumer-December 2026,Product Variant 0193,SKU-03681C19,Direct-to-Consumer,Direct-to-Consumer,202612,Dec-26,4
Product Variant 0142-SKU-03CB6550-Direct-to-Consumer-March 2026,Product Variant 0142,SKU-03CB6550,Direct-to-Consumer,Unknown,202603,Mar-26,34
Product Variant 0142-SKU-03CB6550-Direct-to-Consumer-April 2026,Product Variant 0142,SKU-03CB6550,Direct-to-Consumer,Unknown,202604,Apr-26,24
Product Variant 0142-SKU-03CB6550-Direct-to-Consumer-May 2026,Product Variant 0142,SKU-03CB6550,Direct-to-Consumer,Unknown,202605,May-26,26
Product Variant 0142-SKU-03CB6550-Direct-to-Consumer-June 2026,Product Variant 0142,SKU-03CB6550,Direct-to-Consumer,Unknown,202606,Jun-26,29
Product Variant 0142-SKU-03CB6550-Direct-to-Consumer-July 2026,Product Variant 0142,SKU-03CB6550,Direct-to-Consumer,Unknown,202607,Jul-26,24
Product Variant 0142-SKU-03CB6550-Direct-to-Consumer-August 2026,Product Variant 0142,SKU-03CB6550,Direct-to-Consumer,Unknown,202608,Aug-26,29
Product Variant 0142-SKU-03CB6550-Direct-to-Consumer-September 2026,Product Variant 0142,SKU-03CB6550,Direct-to-Consumer,Unknown,202609,Sep-26,26
Product Variant 0142-SKU-03CB6550-Direct-to-Consumer-October 2026,Product Variant 0142,SKU-03CB6550,Direct-to-Consumer,Unknown,202610,Oct-26,23
Product Variant 0142-SKU-03CB6550-Direct-to-Consumer-November 2026,Product Variant 0142,SKU-03CB6550,Direct-to-Consumer,Unknown,202611,Nov-26,10
Product Variant 0142-SKU-03CB6550-Direct-to-Consumer-December 2026,Product Variant 0142,SKU-03CB6550,Direct-to-Consumer,Unknown,202612,Dec-26,25
Product Variant 0005-SKU-0475C368-Direct-to-Consumer-January 2026,Product Variant 0005,SKU-0475C368,Direct-to-Consumer,Direct-to-Consumer,202601,Jan-26,248
Product Variant 0005-SKU-0475C368-Direct-to-Consumer-February 2026,Product Variant 0005,SKU-0475C368,Direct-to-Consumer,Direct-to-Consumer,202602,Feb-26,183
Product Variant 0005-SKU-0475C368-Direct-to-Consumer-March 2026,Product Variant 0005,SKU-0475C368,Direct-to-Consumer,Direct-to-Consumer,202603,Mar-26,320
Product Variant 0005-SKU-0475C368-Direct-to-Consumer-April 2026,Product Variant 0005,SKU-0475C368,Direct-to-Consumer,Direct-to-Consumer,202604,Apr-26,254
Product Variant 0005-SKU-0475C368-Direct-to-Consumer-May 2026,Product Variant 0005,SKU-0475C368,Direct-to-Consumer,Direct-to-Consumer,202605,May-26,247
Product Variant 0005-SKU-0475C368-Direct-to-Consumer-June 2026,Product Variant 0005,SKU-0475C368,Direct-to-Consumer,Direct-to-Consumer,202606,Jun-26,245
Product Variant 0005-SKU-0475C368-Direct-to-Consumer-July 2026,Product Variant 0005,SKU-0475C368,Direct-to-Consumer,Direct-to-Consumer,202607,Jul-26,322
Product Variant 0005-SKU-0475C368-Direct-to-Consumer-August 2026,Product Variant 0005,SKU-0475C368,Direct-to-Consumer,Direct-to-Consumer,202608,Aug-26,339
Product Variant 0005-SKU-0475C368-Direct-to-Consumer-September 2026,Product Variant 0005,SKU-0475C368,Direct-to-Consumer,Direct-to-Consumer,202609,Sep-26,450
Product Variant 0005-SKU-0475C368-Direct-to-Consumer-October 2026,Product Variant 0005,SKU-0475C368,Direct-to-Consumer,Direct-to-Consumer,202610,Oct-26,234
Product Variant 0005-SKU-0475C368-Direct-to-Consumer-November 2026,Product Variant 0005,SKU-0475C368,Direct-to-Consumer,Direct-to-Consumer,202611,Nov-26,653
Product Variant 0005-SKU-0475C368-Direct-to-Consumer-December 2026,Product Variant 0005,SKU-0475C368,Direct-to-Consumer,Direct-to-Consumer,202612,Dec-26,272
Product Variant 0005-SKU-0475C368-Wholesale-January 2026,Product Variant 0005,SKU-0475C368,Wholesale,Professional - Esthetician,202601,Jan-26,158
Product Variant 0005-SKU-0475C368-Wholesale-January 2026,Product Variant 0005,SKU-0475C368,Wholesale,Retailer - Credo,202601,Jan-26,210
Product Variant 0005-SKU-0475C368-Wholesale-January 2026,Product Variant 0005,SKU-0475C368,Wholesale,Retailer - Non-Credo,202601,Jan-26,31
Product Variant 0005-SKU-0475C368-Wholesale-February 2026,Product Variant 0005,SKU-0475C368,Wholesale,Professional - Esthetician,202602,Feb-26,163
Product Variant 0005-SKU-0475C368-Wholesale-February 2026,Product Variant 0005,SKU-0475C368,Wholesale,Retailer - Non-Credo,202602,Feb-26,25
Product Variant 0005-SKU-0475C368-Wholesale-March 2026,Product Variant 0005,SKU-0475C368,Wholesale,Professional - Esthetician,202603,Mar-26,179
Product Variant 0005-SKU-0475C368-Wholesale-March 2026,Product Variant 0005,SKU-0475C368,Wholesale,Retailer - Credo,202603,Mar-26,159
Product Variant 0005-SKU-0475C368-Wholesale-March 2026,Product Variant 0005,SKU-0475C368,Wholesale,Retailer - Non-Credo,202603,Mar-26,38
Product Variant 0005-SKU-0475C368-Wholesale-April 2026,Product Variant 0005,SKU-0475C368,Wholesale,Professional - Esthetician,202604,Apr-26,142
Product Variant 0005-SKU-0475C368-Wholesale-April 2026,Product Variant 0005,SKU-0475C368,Wholesale,Retailer - Credo,202604,Apr-26,126
Product Variant 0005-SKU-0475C368-Wholesale-April 2026,Product Variant 0005,SKU-0475C368,Wholesale,Retailer - Non-Credo,202604,Apr-26,30
Product Variant 0005-SKU-0475C368-Wholesale-May 2026,Product Variant 0005,SKU-0475C368,Wholesale,Professional - Esthetician,202605,May-26,139
Product Variant 0005-SKU-0475C368-Wholesale-May 2026,Product Variant 0005,SKU-0475C368,Wholesale,Retailer - Credo,202605,May-26,123
Product Variant 0005-SKU-0475C368-Wholesale-May 2026,Product Variant 0005,SKU-0475C368,Wholesale,Retailer - Non-Credo,202605,May-26,29
Product Variant 0005-SKU-0475C368-Wholesale-June 2026,Product Variant 0005,SKU-0475C368,Wholesale,Professional - Esthetician,202606,Jun-26,137
Product Variant 0005-SKU-0475C368-Wholesale-June 2026,Product Variant 0005,SKU-0475C368,Wholesale,Retailer - Credo,202606,Jun-26,122
Product Variant 0005-SKU-0475C368-Wholesale-June 2026,Product Variant 0005,SKU-0475C368,Wholesale,Retailer - Non-Credo,202606,Jun-26,29
Product Variant 0005-SKU-0475C368-Wholesale-July 2026,Product Variant 0005,SKU-0475C368,Wholesale,Professional - Esthetician,202607,Jul-26,180
Product Variant 0005-SKU-0475C368-Wholesale-July 2026,Product Variant 0005,SKU-0475C368,Wholesale,Retailer - Credo,202607,Jul-26,161
Product Variant 0005-SKU-0475C368-Wholesale-July 2026,Product Variant 0005,SKU-0475C368,Wholesale,Retailer - Non-Credo,202607,Jul-26,38
Product Variant 0005-SKU-0475C368-Wholesale-August 2026,Product Variant 0005,SKU-0475C368,Wholesale,Professional - Esthetician,202608,Aug-26,190
Product Variant 0005-SKU-0475C368-Wholesale-August 2026,Product Variant 0005,SKU-0475C368,Wholesale,Retailer - Credo,202608,Aug-26,169
Product Variant 0005-SKU-0475C368-Wholesale-August 2026,Product Variant 0005,SKU-0475C368,Wholesale,Retailer - Non-Credo,202608,Aug-26,40
Product Variant 0005-SKU-0475C368-Wholesale-September 2026,Product Variant 0005,SKU-0475C368,Wholesale,Professional - Esthetician,202609,Sep-26,252
Product Variant 0005-SKU-0475C368-Wholesale-September 2026,Product Variant 0005,SKU-0475C368,Wholesale,Retailer - Credo,202609,Sep-26,224
Product Variant 0005-SKU-0475C368-Wholesale-September 2026,Product Variant 0005,SKU-0475C368,Wholesale,Retailer - Non-Credo,202609,Sep-26,53
Product Variant 0005-SKU-0475C368-Wholesale-October 2026,Product Variant 0005,SKU-0475C368,Wholesale,Professional - Esthetician,202610,Oct-26,131
Product Variant 0005-SKU-0475C368-Wholesale-October 2026,Product Variant 0005,SKU-0475C368,Wholesale,Retailer - Credo,202610,Oct-26,117
Product Variant 0005-SKU-0475C368-Wholesale-October 2026,Product Variant 0005,SKU-0475C368,Wholesale,Retailer - Non-Credo,202610,Oct-26,28
Product Variant 0005-SKU-0475C368-Wholesale-November 2026,Product Variant 0005,SKU-0475C368,Wholesale,Professional - Esthetician,202611,Nov-26,366
Product Variant 0005-SKU-0475C368-Wholesale-November 2026,Product Variant 0005,SKU-0475C368,Wholesale,Retailer - Credo,202611,Nov-26,325
Product Variant 0005-SKU-0475C368-Wholesale-November 2026,Product Variant 0005,SKU-0475C368,Wholesale,Retailer - Non-Credo,202611,Nov-26,77
Product Variant 0005-SKU-0475C368-Wholesale-December 2026,Product Variant 0005,SKU-0475C368,Wholesale,Professional - Esthetician,202612,Dec-26,152
Product Variant 0005-SKU-0475C368-Wholesale-December 2026,Product Variant 0005,SKU-0475C368,Wholesale,Retailer - Credo,202612,Dec-26,135
Product Variant 0005-SKU-0475C368-Wholesale-December 2026,Product Variant 0005,SKU-0475C368,Wholesale,Retailer - Non-Credo,202612,Dec-26,32
Product Variant 0191-SKU-05115970-Direct-to-Consumer-March 2026,Product Variant 0191,SKU-05115970,Direct-to-Consumer,Direct-to-Consumer,202603,Mar-26,1
Product Variant 0191-SKU-05115970-Direct-to-Consumer-April 2026,Product Variant 0191,SKU-05115970,Direct-to-Consumer,Direct-to-Consumer,202604,Apr-26,1
Product Variant 0191-SKU-05115970-Direct-to-Consumer-May 2026,Product Variant 0191,SKU-05115970,Direct-to-Consumer,Direct-to-Consumer,202605,May-26,1
Product Variant 0191-SKU-05115970-Direct-to-Consumer-June 2026,Product Variant 0191,SKU-05115970,Direct-to-Consumer,Direct-to-Consumer,202606,Jun-26,1
Product Variant 0191-SKU-05115970-Direct-to-Consumer-July 2026,Product Variant 0191,SKU-05115970,Direct-to-Consumer,Direct-to-Consumer,202607,Jul-26,1
Product Variant 0191-SKU-05115970-Direct-to-Consumer-August 2026,Product Variant 0191,SKU-05115970,Direct-to-Consumer,Direct-to-Consumer,202608,Aug-26,0
Product Variant 0191-SKU-05115970-Direct-to-Consumer-September 2026,Product Variant 0191,SKU-05115970,Direct-to-Consumer,Direct-to-Consumer,202609,Sep-26,1
Product Variant 0191-SKU-05115970-Direct-to-Consumer-October 2026,Product Variant 0191,SKU-05115970,Direct-to-Consumer,Direct-to-Consumer,202610,Oct-26,1
Product Variant 0191-SKU-05115970-Direct-to-Consumer-November 2026,Product Variant 0191,SKU-05115970,Direct-to-Consumer,Direct-to-Consumer,202611,Nov-26,1
Product Variant 0191-SKU-05115970-Direct-to-Consumer-December 2026,Product Variant 0191,SKU-05115970,Direct-to-Consumer,Direct-to-Consumer,202612,Dec-26,2
Product Variant 0207-SKU-058CDED1-Direct-to-Consumer-January 2026,Product Variant 0207,SKU-058CDED1,Direct-to-Consumer,Direct-to-Consumer,202601,Jan-26,21
Product Variant 0207-SKU-058CDED1-Direct-to-Consumer-February 2026,Product Variant 0207,SKU-058CDED1,Direct-to-Consumer,Direct-to-Consumer,202602,Feb-26,9
Product Variant 0207-SKU-058CDED1-Direct-to-Consumer-March 2026,Product Variant 0207,SKU-058CDED1,Direct-to-Consumer,Direct-to-Consumer,202603,Mar-26,24
Product Variant 0207-SKU-058CDED1-Direct-to-Consumer-April 2026,Product Variant 0207,SKU-058CDED1,Direct-to-Consumer,Direct-to-Consumer,202604,Apr-26,28
Product Variant 0207-SKU-058CDED1-Direct-to-Consumer-May 2026,Product Variant 0207,SKU-058CDED1,Direct-to-Consumer,Direct-to-Consumer,202605,May-26,20
Product Variant 0207-SKU-058CDED1-Direct-to-Consumer-June 2026,Product Variant 0207,SKU-058CDED1,Direct-to-Consumer,Direct-to-Consumer,202606,Jun-26,22
Product Variant 0207-SKU-058CDED1-Direct-to-Consumer-July 2026,Product Variant 0207,SKU-058CDED1,Direct-to-Consumer,Direct-to-Consumer,202607,Jul-26,21
Product Variant 0207-SKU-058CDED1-Direct-to-Consumer-August 2026,Product Variant 0207,SKU-058CDED1,Direct-to-Consumer,Direct-to-Consumer,202608,Aug-26,39
Product Variant 0207-SKU-058CDED1-Direct-to-Consumer-September 2026,Product Variant 0207,SKU-058CDED1,Direct-to-Consumer,Direct-to-Consumer,202609,Sep-26,23
Product Variant 0207-SKU-058CDED1-Direct-to-Consumer-October 2026,Product Variant 0207,SKU-058CDED1,Direct-to-Consumer,Direct-to-Consumer,202610,Oct-26,103
Product Variant 0207-SKU-058CDED1-Direct-to-Consumer-November 2026,Product Variant 0207,SKU-058CDED1,Direct-to-Consumer,Direct-to-Consumer,202611,Nov-26,53
Product Variant 0207-SKU-058CDED1-Direct-to-Consumer-December 2026,Product Variant 0207,SKU-058CDED1,Direct-to-Consumer,Direct-to-Consumer,202612,Dec-26,49
Product Variant 0207-SKU-058CDED1-Wholesale-January 2026,Product Variant 0207,SKU-058CDED1,Wholesale,Professional - Esthetician,202601,Jan-26,30
Product Variant 0207-SKU-058CDED1-Wholesale-January 2026,Product Variant 0207,SKU-058CDED1,Wholesale,Retailer - Non-Credo,202601,Jan-26,35
Product Variant 0207-SKU-058CDED1-Wholesale-February 2026,Product Variant 0207,SKU-058CDED1,Wholesale,Professional - Esthetician,202602,Feb-26,115
Product Variant 0207-SKU-058CDED1-Wholesale-March 2026,Product Variant 0207,SKU-058CDED1,Wholesale,Professional - Esthetician,202603,Mar-26,10
Product Variant 0207-SKU-058CDED1-Wholesale-March 2026,Product Variant 0207,SKU-058CDED1,Wholesale,Retailer - Credo,202603,Mar-26,32
Product Variant 0207-SKU-058CDED1-Wholesale-March 2026,Product Variant 0207,SKU-058CDED1,Wholesale,Retailer - Non-Credo,202603,Mar-26,3
Product Variant 0207-SKU-058CDED1-Wholesale-April 2026,Product Variant 0207,SKU-058CDED1,Wholesale,Professional - Esthetician,202604,Apr-26,11
Product Variant 0207-SKU-058CDED1-Wholesale-April 2026,Product Variant 0207,SKU-058CDED1,Wholesale,Retailer - Credo,202604,Apr-26,38
Product Variant 0207-SKU-058CDED1-Wholesale-April 2026,Product Variant 0207,SKU-058CDED1,Wholesale,Retailer - Non-Credo,202604,Apr-26,4
Product Variant 0207-SKU-058CDED1-Wholesale-May 2026,Product Variant 0207,SKU-058CDED1,Wholesale,Professional - Esthetician,202605,May-26,8
Product Variant 0207-SKU-058CDED1-Wholesale-May 2026,Product Variant 0207,SKU-058CDED1,Wholesale,Retailer - Credo,202605,May-26,27
Product Variant 0207-SKU-058CDED1-Wholesale-May 2026,Product Variant 0207,SKU-058CDED1,Wholesale,Retailer - Non-Credo,202605,May-26,3
Product Variant 0207-SKU-058CDED1-Wholesale-June 2026,Product Variant 0207,SKU-058CDED1,Wholesale,Professional - Esthetician,202606,Jun-26,9
Product Variant 0207-SKU-058CDED1-Wholesale-June 2026,Product Variant 0207,SKU-058CDED1,Wholesale,Retailer - Credo,202606,Jun-26,31
Product Variant 0207-SKU-058CDED1-Wholesale-June 2026,Product Variant 0207,SKU-058CDED1,Wholesale,Retailer - Non-Credo,202606,Jun-26,3
Product Variant 0207-SKU-058CDED1-Wholesale-July 2026,Product Variant 0207,SKU-058CDED1,Wholesale,Professional - Esthetician,202607,Jul-26,9
Product Variant 0207-SKU-058CDED1-Wholesale-July 2026,Product Variant 0207,SKU-058CDED1,Wholesale,Retailer - Credo,202607,Jul-26,30
Product Variant 0207-SKU-058CDED1-Wholesale-July 2026,Product Variant 0207,SKU-058CDED1,Wholesale,Retailer - Non-Credo,202607,Jul-26,3
Product Variant 0207-SKU-058CDED1-Wholesale-August 2026,Product Variant 0207,SKU-058CDED1,Wholesale,Professional - Esthetician,202608,Aug-26,17
Product Variant 0207-SKU-058CDED1-Wholesale-August 2026,Product Variant 0207,SKU-058CDED1,Wholesale,Retailer - Credo,202608,Aug-26,57
Product Variant 0207-SKU-058CDED1-Wholesale-August 2026,Product Variant 0207,SKU-058CDED1,Wholesale,Retailer - Non-Credo,202608,Aug-26,6
Product Variant 0207-SKU-058CDED1-Wholesale-September 2026,Product Variant 0207,SKU-058CDED1,Wholesale,Professional - Esthetician,202609,Sep-26,10
Product Variant 0207-SKU-058CDED1-Wholesale-September 2026,Product Variant 0207,SKU-058CDED1,Wholesale,Retailer - Credo,202609,Sep-26,34
Product Variant 0207-SKU-058CDED1-Wholesale-September 2026,Product Variant 0207,SKU-058CDED1,Wholesale,Retailer - Non-Credo,202609,Sep-26,3
Product Variant 0207-SKU-058CDED1-Wholesale-October 2026,Product Variant 0207,SKU-058CDED1,Wholesale,Professional - Esthetician,202610,Oct-26,48
Product Variant 0207-SKU-058CDED1-Wholesale-October 2026,Product Variant 0207,SKU-058CDED1,Wholesale,Retailer - Credo,202610,Oct-26,159
Product Variant 0207-SKU-058CDED1-Wholesale-October 2026,Product Variant 0207,SKU-058CDED1,Wholesale,Retailer - Non-Credo,202610,Oct-26,16
Product Variant 0207-SKU-058CDED1-Wholesale-November 2026,Product Variant 0207,SKU-058CDED1,Wholesale,Professional - Esthetician,202611,Nov-26,25
Product Variant 0207-SKU-058CDED1-Wholesale-November 2026,Product Variant 0207,SKU-058CDED1,Wholesale,Retailer - Credo,202611,Nov-26,84
Product Variant 0207-SKU-058CDED1-Wholesale-November 2026,Product Variant 0207,SKU-058CDED1,Wholesale,Retailer - Non-Credo,202611,Nov-26,8
